dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_entropy,168,0.3,51,42,28,0.6666666666666666,0.5490196078431373,2.2222222222222223,0.11965811965811966,0.5213675213675213
monuseg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,168,0.05,9,42,0,0.0,0.0,0.0,0.2641509433962264,-0.05660377358490565
monuseg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,168,0.1,17,42,0,0.0,0.0,0.0,0.2781456953642384,-0.11258278145695355
monuseg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,168,0.2,34,42,0,0.0,0.0,0.0,0.31343283582089554,-0.25373134328358216
monuseg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,168,0.3,51,42,2,0.047619047619047616,0.0392156862745098,0.15873015873015872,0.3418803418803419,-0.36752136752136755
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,168,0.05,9,42,8,0.19047619047619047,0.8888888888888888,3.8095238095238093,0.2138364779874214,0.14465408805031443
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,168,0.1,17,42,13,0.30952380952380953,0.7647058823529411,3.0952380952380953,0.19205298013245034,0.23178807947019864
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,168,0.2,34,42,21,0.5,0.6176470588235294,2.5,0.15671641791044777,0.3731343283582089
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,168,0.3,51,42,26,0.6190476190476191,0.5098039215686274,2.0634920634920637,0.13675213675213677,0.45299145299145294
monuseg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,168,0.05,9,42,9,0.21428571428571427,1.0,4.285714285714286,0.20754716981132076,0.16981132075471694
monuseg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,168,0.1,17,42,15,0.35714285714285715,0.8823529411764706,3.571428571428571,0.17880794701986755,0.2847682119205298
monuseg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,168,0.2,34,42,24,0.5714285714285714,0.7058823529411765,2.8571428571428568,0.13432835820895522,0.4626865671641791
monuseg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,168,0.3,51,42,24,0.5714285714285714,0.47058823529411764,1.9047619047619047,0.15384615384615385,0.3846153846153846
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,168,0.05,9,42,7,0.16666666666666666,0.7777777777777778,3.333333333333333,0.22012578616352202,0.11949685534591192
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,168,0.1,17,42,12,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,168,0.2,34,42,14,0.3333333333333333,0.4117647058823529,1.6666666666666665,0.208955223880597,0.16417910447761197
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,168,0.3,51,42,14,0.3333333333333333,0.27450980392156865,1.1111111111111112,0.23931623931623933,0.042735042735042694
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,168,0.05,9,42,4,0.09523809523809523,0.4444444444444444,1.9047619047619047,0.2389937106918239,0.04402515723270439
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,168,0.1,17,42,5,0.11904761904761904,0.29411764705882354,1.1904761904761902,0.24503311258278146,0.019867549668874163
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,168,0.2,34,42,10,0.23809523809523808,0.29411764705882354,1.1904761904761902,0.23880597014925373,0.04477611940298509
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,168,0.3,51,42,16,0.38095238095238093,0.3137254901960784,1.2698412698412698,0.2222222222222222,0.11111111111111116
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,168,0.05,9,42,6,0.14285714285714285,0.6666666666666666,2.8571428571428568,0.22641509433962265,0.09433962264150941
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,168,0.1,17,42,10,0.23809523809523808,0.5882352941176471,2.3809523809523805,0.2119205298013245,0.152317880794702
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,168,0.2,34,42,13,0.30952380952380953,0.38235294117647056,1.5476190476190477,0.21641791044776118,0.13432835820895528
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,168,0.3,51,42,17,0.40476190476190477,0.3333333333333333,1.3492063492063493,0.21367521367521367,0.14529914529914534
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,168,0.05,9,42,6,0.14285714285714285,0.6666666666666666,2.8571428571428568,0.22641509433962265,0.09433962264150941
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,168,0.1,17,42,9,0.21428571428571427,0.5294117647058824,2.142857142857143,0.2185430463576159,0.1258278145695364
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,168,0.2,34,42,15,0.35714285714285715,0.4411764705882353,1.7857142857142856,0.20149253731343283,0.19402985074626866
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,168,0.3,51,42,20,0.47619047619047616,0.39215686274509803,1.5873015873015872,0.18803418803418803,0.24786324786324787
monuseg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,168,0.05,9,42,7,0.16666666666666666,0.7777777777777778,3.333333333333333,0.22012578616352202,0.11949685534591192
monuseg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,168,0.1,17,42,12,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
monuseg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,168,0.2,34,42,17,0.40476190476190477,0.5,2.0238095238095237,0.1865671641791045,0.25373134328358204
monuseg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,168,0.3,51,42,22,0.5238095238095238,0.43137254901960786,1.7460317460317463,0.17094017094017094,0.3162393162393162
monuseg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,168,0.05,9,42,8,0.19047619047619047,0.8888888888888888,3.8095238095238093,0.2138364779874214,0.14465408805031443
monuseg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,168,0.1,17,42,13,0.30952380952380953,0.7647058823529411,3.0952380952380953,0.19205298013245034,0.23178807947019864
monuseg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,168,0.2,34,42,19,0.4523809523809524,0.5588235294117647,2.261904761904762,0.17164179104477612,0.31343283582089554
monuseg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,168,0.3,51,42,26,0.6190476190476191,0.5098039215686274,2.0634920634920637,0.13675213675213677,0.45299145299145294
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,168,0.05,9,42,5,0.11904761904761904,0.5555555555555556,2.3809523809523805,0.23270440251572327,0.0691823899371069
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,168,0.1,17,42,12,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,168,0.2,34,42,21,0.5,0.6176470588235294,2.5,0.15671641791044777,0.3731343283582089
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,168,0.3,51,42,26,0.6190476190476191,0.5098039215686274,2.0634920634920637,0.13675213675213677,0.45299145299145294
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,168,0.05,9,42,7,0.16666666666666666,0.7777777777777778,3.333333333333333,0.22012578616352202,0.11949685534591192
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,168,0.1,17,42,12,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,168,0.2,34,42,22,0.5238095238095238,0.6470588235294118,2.619047619047619,0.14925373134328357,0.4029850746268657
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,168,0.3,51,42,27,0.6428571428571429,0.5294117647058824,2.1428571428571432,0.1282051282051282,0.4871794871794872
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,168,0.05,9,42,8,0.19047619047619047,0.8888888888888888,3.8095238095238093,0.2138364779874214,0.14465408805031443
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,168,0.1,17,42,12,0.2857142857142857,0.7058823529411765,2.8571428571428568,0.1986754966887417,0.20529801324503316
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,168,0.2,34,42,22,0.5238095238095238,0.6470588235294118,2.619047619047619,0.14925373134328357,0.4029850746268657
